LJ021-0001|The Fireside Chats of Franklin Delano Roosevelt, by Franklin D Roosevelt, Section 6.|The Fireside Chats of Franklin Delano Roosevelt, by Franklin D Roosevelt, Section six.
LJ029-0073|that the President would arrive and depart from Dallas' Love Field; that a motorcade through the downtown area of Dallas to the luncheon site should be arranged;|that the President would arrive and depart from Dallas' Love Field; that a motorcade through the downtown area of Dallas to the luncheon site should be arranged;
LJ029-0074|and that following the luncheon the President would return to the airport by the most direct route.|and that following the luncheon the President would return to the airport by the most direct route.
LJ029-0075|Accordingly, it was important to determine the luncheon site as quickly as possible, so that security could be established at the site and the motorcade route selected.|Accordingly, it was important to determine the luncheon site as quickly as possible, so that security could be established at the site and the motorcade route selected.
LJ029-0076|On November 4, Gerald A. Behn, agent in charge of the White House detail, asked Sorrels to examine three potential sites for the luncheon.|On November four, Gerald A. Behn, agent in charge of the White House detail, asked Sorrels to examine three potential sites for the luncheon.
LJ029-0077|One building, Market Hall, was unavailable for November 22.|One building, Market Hall, was unavailable for November twenty-two.
LJ029-0078|The second, the Women's Building at the State Fair Grounds,|The second, the Women's Building at the State Fair Grounds,
LJ029-0079|was a one-story building with few entrances and easy to make secure, but it lacked necessary food-handling facilities|was a one-story building with few entrances and easy to make secure, but it lacked necessary food-handling facilities
LJ029-0080|and had certain unattractive features, including a low ceiling with exposed conduits and beams.|and had certain unattractive features, including a low ceiling with exposed conduits and beams.
LJ029-0081|The third possibility, the Trade Mart, a handsome new building with all the necessary facilities, presented security problems. It had numerous entrances,|The third possibility, the Trade Mart, a handsome new building with all the necessary facilities, presented security problems. It had numerous entrances,
LJ029-0082|several tiers of balconies surrounding the central court where the luncheon would be held, and several catwalks crossing the court at each level.|several tiers of balconies surrounding the central court where the luncheon would be held, and several catwalks crossing the court at each level.
LJ029-0083|On November 4, Sorrels told Behn he believed security difficulties at the Trade Mart could be overcome by special precautions.|On November four, Sorrels told Behn he believed security difficulties at the Trade Mart could be overcome by special precautions.
LJ029-0084|Lawson also evaluated the security hazards at the Trade Mart on November 13.|Lawson also evaluated the security hazards at the Trade Mart on November thirteen.
LJ029-0085|Kenneth O'Donnell made the final decision to hold the luncheon at the Trade Mart; Behn so notified Lawson on November 14.|Kenneth O'Donnell made the final decision to hold the luncheon at the Trade Mart; Behn so notified Lawson on November fourteen.
LJ029-0086|Once the Trade Mart had been selected, Sorrels and Lawson worked out detailed arrangements for security at the building.|Once the Trade Mart had been selected, Sorrels and Lawson worked out detailed arrangements for security at the building.
LJ029-0087|In addition to the preventive measures already mentioned, they provided for controlling access to the building, closing off and policing areas around it,|In addition to the preventive measures already mentioned, they provided for controlling access to the building, closing off and policing areas around it,
LJ029-0088|securing the roof and insuring the presence of numerous police officers inside and around the building.|securing the roof and insuring the presence of numerous police officers inside and around the building.
LJ029-0089|Ultimately more than 200 law enforcement officers, mainly Dallas police but including 8 Secret Service agents,|Ultimately more than two hundred law enforcement officers, mainly Dallas police but including eight Secret Service agents,
LJ029-0090|were deployed in and around the Trade Mart.|were deployed in and around the Trade Mart.
LJ029-0091|The Motorcade Route.|The Motorcade Route.
LJ029-0092|On November 8, when Lawson was briefed on the itinerary for the trip to Dallas,|On November eight, when Lawson was briefed on the itinerary for the trip to Dallas,
LJ029-0093|he was told that 45 minutes had been allotted for a motorcade procession from Love Field to the luncheon site.|he was told that forty-five minutes had been allotted for a motorcade procession from Love Field to the luncheon site.
LJ029-0094|Lawson was not specifically instructed to select the parade route, but he understood that this was one of his functions.|Lawson was not specifically instructed to select the parade route, but he understood that this was one of his functions.
LJ029-0095|Even before the Trade Mart had been definitely selected, Lawson and Sorrels began to consider the best motorcade route from Love Field to the Trade Mart.|Even before the Trade Mart had been definitely selected, Lawson and Sorrels began to consider the best motorcade route from Love Field to the Trade Mart.
LJ029-0096|On November 14, Lawson and Sorrels attended a meeting at Love Field|On November fourteen, Lawson and Sorrels attended a meeting at Love Field
LJ029-0097|and on their return to Dallas drove over the route which Sorrels believed best suited for the proposed motorcade.|and on their return to Dallas drove over the route which Sorrels believed best suited for the proposed motorcade.
LJ029-0098|This route, eventually selected for the motorcade from the airport to the Trade Mart, measured 10 miles and could be driven easily within the allotted 45 minutes.|This route, eventually selected for the motorcade from the airport to the Trade Mart, measured ten miles and could be driven easily within the allotted forty-five minutes.
LJ029-0099|From Love Field the route passed through a portion of suburban Dallas,|From Love Field the route passed through a portion of suburban Dallas,
LJ029-0100|through the downtown area along Main Street and then to the Trade Mart via Stemmons Freeway.|through the downtown area along Main Street and then to the Trade Mart via Stemmons Freeway.
LJ029-0101|For the President's return to Love Field following the luncheon, the agents selected the most direct route, which was approximately 4 miles.|For the President's return to Love Field following the luncheon, the agents selected the most direct route, which was approximately four miles.
LJ029-0102|After the selection of the Trade Mart as the luncheon site,|After the selection of the Trade Mart as the luncheon site,
LJ029-0103|Lawson and Sorrels met with Dallas Chief of Police Jesse E. Curry, Assistant Chief Charles Batchelor,|Lawson and Sorrels met with Dallas Chief of Police Jesse E. Curry, Assistant Chief Charles Batchelor,
LJ029-0104|Deputy Chief N. T. Fisher, and several other command officers to discuss details of the motorcade and possible routes.|Deputy Chief N. T. Fisher, and several other command officers to discuss details of the motorcade and possible routes.
LJ029-0105|The route was further reviewed by Lawson and Sorrels with Assistant Chief Batchelor and members of the local host committee on November 15.|The route was further reviewed by Lawson and Sorrels with Assistant Chief Batchelor and members of the local host committee on November fifteen.
LJ029-0106|The police officials agreed that the route recommended by Sorrels was the proper one and did not express a belief that any other route might be better.|The police officials agreed that the route recommended by Sorrels was the proper one and did not express a belief that any other route might be better.
LJ029-0107|On November 18,|On November eighteen,
LJ029-0108|Sorrels and Lawson drove over the selected route with Batchelor and other police officers, verifying that it could be traversed within 45 minutes.|Sorrels and Lawson drove over the selected route with Batchelor and other police officers, verifying that it could be traversed within forty-five minutes.
LJ029-0109|Representatives of the local host committee and the White House staff were advised by the Secret Service of the actual route on the afternoon of November 18.|Representatives of the local host committee and the White House staff were advised by the Secret Service of the actual route on the afternoon of November eighteen.
LJ029-0110|The route impressed the agents as a natural and desirable one.|The route impressed the agents as a natural and desirable one.
LJ029-0111|Sorrels, who had participated in Presidential protection assignments in Dallas since a visit by President Franklin D. Roosevelt|Sorrels, who had participated in Presidential protection assignments in Dallas since a visit by President Franklin D. Roosevelt
LJ029-0112|in 1936, as testified that the traditional parade route in Dallas was along Main Street, since the tall buildings along the street|in nineteen thirty-six, as testified that the traditional parade route in Dallas was along Main Street, since the tall buildings along the street
LJ029-0113|gave more people an opportunity to participate.|gave more people an opportunity to participate.
LJ029-0114|The route chosen from the airport to Main Street was the normal one, except where Harwood Street was selected as the means of access to Main Street|The route chosen from the airport to Main Street was the normal one, except where Harwood Street was selected as the means of access to Main Street
LJ029-0115|in preference to a short stretch of the Central Expressway, which presented a minor safety hazard|in preference to a short stretch of the Central Expressway, which presented a minor safety hazard
LJ029-0116|and could not accommodate spectators as conveniently as Harwood Street.|and could not accommodate spectators as conveniently as Harwood Street.
LJ029-0117|According to Lawson, the chosen route seemed to be the best.|According to Lawson, the chosen route seemed to be the best.
LJ029-0118|It afforded us wide streets most of the way, because of the buses that were in the motorcade.|It afforded us wide streets most of the way, because of the buses that were in the motorcade.
LJ029-0119|It afforded us a chance to have alternative routes if something happened on the motorcade route. It was the type of suburban area a good part of the way|It afforded us a chance to have alternative routes if something happened on the motorcade route. It was the type of suburban area a good part of the way
LJ029-0120|where the crowds would be able to be controlled for a great distance, and we figured that the largest crowds would be downtown, which they were,|where the crowds would be able to be controlled for a great distance, and we figured that the largest crowds would be downtown, which they were,
LJ029-0121|and that the wide streets that we would use downtown would be of sufficient width to keep the public out of our way.|and that the wide streets that we would use downtown would be of sufficient width to keep the public out of our way.
LJ029-0122|Elm Street, parallel to Main Street and one block north,|Elm Street, parallel to Main Street and one block north,
LJ029-0123|was not used for the main portion of the downtown part of the motorcade because Main Street offered better vantage points for spectators.|was not used for the main portion of the downtown part of the motorcade because Main Street offered better vantage points for spectators.
LJ029-0124|To reach the Trade Mart from Main Street the agents decided to use the Stemmons Freeway (Route No. 77), the most direct route.|To reach the Trade Mart from Main Street the agents decided to use the Stemmons Freeway (Route Number seventy-seven), the most direct route.
LJ029-0125|The only practical way for westbound traffic on Main Street|The only practical way for westbound traffic on Main Street
LJ029-0126|to reach the northbound lanes of the Stemmons Freeway is via Elm Street, which Route No. 77 traffic is instructed to follow in this part of the city.|to reach the northbound lanes of the Stemmons Freeway is via Elm Street, which Route Number seventy-seven traffic is instructed to follow in this part of the city.
LJ029-0127|Elm Street was to be reached from Main by turning right at Houston,|Elm Street was to be reached from Main by turning right at Houston,
LJ029-0128|going one block north and then turning left onto Elm.|going one block north and then turning left onto Elm.
LJ029-0129|On this last portion of the journey, only 5 minutes from the Trade Mart,|On this last portion of the journey, only five minutes from the Trade Mart,
LJ029-0130|the President's motorcade would pass the Texas School Book Depository Building on the northwest corner of Houston and Elm Streets.|the President's motorcade would pass the Texas School Book Depository Building on the northwest corner of Houston and Elm Streets.
LJ029-0131|The building overlooks Dealey Plaza, an attractively landscaped triangle of 3 acres.|The building overlooks Dealey Plaza, an attractively landscaped triangle of three acres.
LJ029-0132|From Houston Street, which forms the base of the triangle, three streets -- Commerce, Main, and Elm --|From Houston Street, which forms the base of the triangle, three streets -- Commerce, Main, and Elm --
LJ029-0133|trisect the plaza, converging at the apex of the triangle to form a triple underpass beneath a multiple railroad bridge|trisect the plaza, converging at the apex of the triangle to form a triple underpass beneath a multiple railroad bridge
LJ029-0134|almost 500 feet from Houston Street.|almost five hundred feet from Houston Street.
LJ029-0135|Elm Street, the northernmost of the three, after intersecting Houston curves in a southwesterly arc|Elm Street, the northernmost of the three, after intersecting Houston curves in a southwesterly arc
LJ029-0136|through the underpass and leads into an access road,|through the underpass and leads into an access road,
LJ029-0137|which branches off to the right and is used by traffic going to the Stemmons Freeway and the Dallas-Fort Worth Turnpike.|which branches off to the right and is used by traffic going to the Stemmons Freeway and the Dallas-Fort Worth Turnpike.
LJ029-0138|The Elm Street approach to the Stemmons Freeway is necessary|The Elm Street approach to the Stemmons Freeway is necessary
LJ029-0139|in order to avoid the traffic hazards which would otherwise exist if right turns were permitted from both Main and Elm into the freeway.|in order to avoid the traffic hazards which would otherwise exist if right turns were permitted from both Main and Elm into the freeway.
LJ029-0140|To create this traffic pattern, a concrete barrier between Main and Elm Streets presents an obstacle to a right turn|To create this traffic pattern, a concrete barrier between Main and Elm Streets presents an obstacle to a right turn
LJ029-0141|from Main across Elm to the access road to Stemmons Freeway and the Dallas-Fort Worth Turnpike.|from Main across Elm to the access road to Stemmons Freeway and the Dallas-Fort Worth Turnpike.
LJ029-0142|This concrete barrier extends far enough beyond the access road to make it impracticable for vehicles to turn right from Main directly to the access road.|This concrete barrier extends far enough beyond the access road to make it impracticable for vehicles to turn right from Main directly to the access road.
LJ029-0143|A sign located on this barrier instructs Main Street traffic not to make any turns.|A sign located on this barrier instructs Main Street traffic not to make any turns.
LJ029-0144|In conformity with these arrangements, traffic proceeding west on Main is directed to turn right at Houston|In conformity with these arrangements, traffic proceeding west on Main is directed to turn right at Houston
LJ029-0145|in order to reach the Dallas-Fort Worth Turnpike, which has the same access road from Elm Street as does the Stemmons Freeway.|in order to reach the Dallas-Fort Worth Turnpike, which has the same access road from Elm Street as does the Stemmons Freeway.
LJ029-0146|The planning for the motorcade also included advance preparations for security arrangements along the route.|The planning for the motorcade also included advance preparations for security arrangements along the route.
LJ029-0147|Sorrels and Lawson reviewed the route in cooperation with Assistant Chief Bachelor and other Dallas police officials who took notes on the requirements|Sorrels and Lawson reviewed the route in cooperation with Assistant Chief Bachelor and other Dallas police officials who took notes on the requirements
LJ029-0148|for controlling the crowds and traffic, watching the overpasses, and providing motorcycle escort.|for controlling the crowds and traffic, watching the overpasses, and providing motorcycle escort.
LJ029-0149|To control traffic, arrangements were made for the deployment of foot patrolmen and motorcycle police at various positions along the route.|To control traffic, arrangements were made for the deployment of foot patrolmen and motorcycle police at various positions along the route.
LJ029-0150|Police were assigned to each overpass on the route and instructed to keep them clear of unauthorized persons.|Police were assigned to each overpass on the route and instructed to keep them clear of unauthorized persons.
LJ029-0151|No arrangements were made for police or building custodians|No arrangements were made for police or building custodians
LJ029-0152|to inspect buildings along the motorcade route since the Secret Service did not normally request or make such a check.|to inspect buildings along the motorcade route since the Secret Service did not normally request or make such a check.
LJ029-0153|Under standard procedures, the responsibility for watching the windows of buildings was shared by local police stationed along the route|Under standard procedures, the responsibility for watching the windows of buildings was shared by local police stationed along the route
LJ029-0154|and Secret Service agents riding in the motorcade.|and Secret Service agents riding in the motorcade.
LJ029-0155|As the date for the President's visit approached,|As the date for the President's visit approached,
LJ029-0156|the two Dallas newspapers carried several reports of his motorcade route.|the two Dallas newspapers carried several reports of his motorcade route.
LJ029-0157|The selection of the Trade Mart as the possible site for the luncheon first appeared in the Dallas Times-Herald on November 15, 1963.|The selection of the Trade Mart as the possible site for the luncheon first appeared in the Dallas Times-Herald on November fifteen, nineteen sixty-three.
LJ029-0158|The following day, the newspaper reported that the Presidential party|The following day, the newspaper reported that the Presidential party
LJ029-0159|quote, apparently will loop through the downtown area, probably on Main Street, en route from Dallas Love Field, end quote.|quote, apparently will loop through the downtown area, probably on Main Street, en route from Dallas Love Field, end quote.
LJ029-0160|on its way to the Trade Mart. On November 19, the Times-Herald afternoon paper detailed the precise route:|on its way to the Trade Mart. On November nineteen, the Times-Herald afternoon paper detailed the precise route:
LJ029-0161|From the airport, the President's party will proceed to Mockingbird Lane to Lemmon and then to Turtle Creek, turning south to Cedar Springs.|From the airport, the President's party will proceed to Mockingbird Lane to Lemmon and then to Turtle Creek, turning south to Cedar Springs.
LJ029-0162|The motorcade will then pass through downtown on Harwood|The motorcade will then pass through downtown on Harwood
LJ029-0163|and then west on Main, turning back to Elm at Houston and then out Stemmons Freeway to the Trade Mart.|and then west on Main, turning back to Elm at Houston and then out Stemmons Freeway to the Trade Mart.
LJ029-0164|Also on November 19, the Morning News reported that the President's motorcade would travel from Love Field along specified streets, then|Also on November nineteen, the Morning News reported that the President's motorcade would travel from Love Field along specified streets, then
LJ029-0165|Harwood to Main, Main to Houston, Houston to Elm, Elm under the Triple Underpass to Stemmons Freeway, and on to the Trade Mart.|Harwood to Main, Main to Houston, Houston to Elm, Elm under the Triple Underpass to Stemmons Freeway, and on to the Trade Mart.
LJ029-0166|On November 20 a front page story reported that the streets on which the Presidential motorcade would travel included "Main and Stemmons Freeway."|On November twenty a front page story reported that the streets on which the Presidential motorcade would travel included "Main and Stemmons Freeway."
LJ029-0167|On the morning of the President's arrival,|On the morning of the President's arrival,
LJ029-0168|the Morning News noted that the motorcade would travel through downtown Dallas onto the Stemmons Freeway, and reported that, quote, the motorcade will move slowly|the Morning News noted that the motorcade would travel through downtown Dallas onto the Stemmons Freeway, and reported that, quote, the motorcade will move slowly
LJ029-0169|so that crowds can get a good view of President Kennedy and his wife.|so that crowds can get a good view of President Kennedy and his wife.
LJ029-0170|Dallas Before the Visit|Dallas Before the Visit
LJ029-0171|The President's intention to pay a visit to Texas in the fall of 1963 aroused interest throughout the State.|The President's intention to pay a visit to Texas in the fall of nineteen sixty-three aroused interest throughout the State.
LJ029-0172|The two Dallas newspapers provided their readers with a steady stream of information and speculation about the trip,|The two Dallas newspapers provided their readers with a steady stream of information and speculation about the trip,
LJ029-0173|beginning on September 13, when the Times-Herald announced in a front page article that President Kennedy was planning a brief 1-day tour of four Texas cities|beginning on September thirteen, when the Times-Herald announced in a front page article that President Kennedy was planning a brief one-day tour of four Texas cities
LJ029-0174|Dallas, Fort Worth, San Antonio, and Houston|Dallas, Fort Worth, San Antonio, and Houston
LJ029-0175|Both Dallas papers cited White House sources on September 26 as confirming the President's intention to visit Texas on November 21 and 22,|Both Dallas papers cited White House sources on September twenty-six as confirming the President's intention to visit Texas on November twenty-one and twenty-two,
LJ029-0176|with Dallas scheduled as one of the stops.|with Dallas scheduled as one of the stops.
LJ029-0177|Articles, editorials, and letters to the editor in the Dallas Morning News and the Dallas Times-Herald after September 13|Articles, editorials, and letters to the editor in the Dallas Morning News and the Dallas Times-Herald after September thirteen
LJ029-0178|reflected the feeling in the community toward the forthcoming Presidential visit.|reflected the feeling in the community toward the forthcoming Presidential visit.
LJ029-0179|Although there were critical editorials and letters to the editors, the news stories reflected the desire of Dallas officials to welcome the President with dignity and courtesy.|Although there were critical editorials and letters to the editors, the news stories reflected the desire of Dallas officials to welcome the President with dignity and courtesy.
LJ029-0180|An editorial in the Times-Herald of September 17|An editorial in the Times-Herald of September seventeen
LJ029-0181|called on the people of Dallas to be "congenial hosts" even though "Dallas didn't vote for Mr. Kennedy in 1960,|called on the people of Dallas to be "congenial hosts" even though "Dallas didn't vote for Mr. Kennedy in nineteen sixty,
LJ029-0182|may not endorse him in '64.|may not endorse him in 'sixty-four.
LJ029-0183|On October 3 the Dallas Morning News quoted U.S. Representative Joe Pool's hope|On October three the Dallas Morning News quoted U.S. Representative Joe Pool's hope
LJ029-0184|that President Kennedy would receive a "good welcome" and would not face demonstrations like those encountered|that President Kennedy would receive a "good welcome" and would not face demonstrations like those encountered
LJ029-0185|by Vice President Johnson during the 1960 campaign.|by Vice President Johnson during the nineteen sixty campaign.
LJ029-0186|Increased concern about the President's visit was aroused by the incident involving the U.S. Ambassador to the United Nations, Adlai E. Stevenson.|Increased concern about the President's visit was aroused by the incident involving the U.S. Ambassador to the United Nations, Adlai E. Stevenson.
LJ029-0187|On the evening of October 24, 1963, after addressing a meeting in Dallas,|On the evening of October twenty-four, nineteen sixty-three, after addressing a meeting in Dallas,
LJ029-0189|The local, national, and international reaction to this incident evoked from Dallas officials and newspapers strong condemnations of the demonstrators.|The local, national, and international reaction to this incident evoked from Dallas officials and newspapers strong condemnations of the demonstrators.
LJ029-0190|Mayor Earle Cabell called on the city to redeem itself during President Kennedy's visit.|Mayor Earle Cabell called on the city to redeem itself during President Kennedy's visit.
LJ029-0191|He asserted that Dallas had shed its reputation of the twenties as the, quote, Southwest hate capital of Dixie, end quote|He asserted that Dallas had shed its reputation of the twenties as the, quote, Southwest hate capital of Dixie, end quote
LJ029-0192|On October 26 the press reported Chief of Police Curry's plans|On October twenty-six the press reported Chief of Police Curry's plans
LJ029-0193|to call in 100 extra off-duty officers to help protect President Kennedy.|to call in one hundred extra off-duty officers to help protect President Kennedy.
LJ029-0194|Any thought that the President might cancel his visit to Dallas was ended|Any thought that the President might cancel his visit to Dallas was ended
LJ029-0195|when Governor Connally confirmed on November 8 that the President would come to Texas on November 21 and 22,|when Governor Connally confirmed on November eight that the President would come to Texas on November twenty-one and twenty-two,
LJ029-0196|and that he would visit San Antonio, Houston, Fort Worth, Dallas, and Austin.|and that he would visit San Antonio, Houston, Fort Worth, Dallas, and Austin.
LJ029-0197|During November the Dallas papers reported frequently on the plans for protecting the President, stressing the thoroughness of the preparations.|During November the Dallas papers reported frequently on the plans for protecting the President, stressing the thoroughness of the preparations.
LJ029-0198|They conveyed the pleas of Dallas leaders that citizens not demonstrate or create disturbances during the President's visit.|They conveyed the pleas of Dallas leaders that citizens not demonstrate or create disturbances during the President's visit.
LJ029-0199|On November 18 the Dallas City Council adopted a new city ordinance prohibiting interference with attendance at lawful assemblies.|On November eighteen the Dallas City Council adopted a new city ordinance prohibiting interference with attendance at lawful assemblies.
LJ029-0200|Two days before the President's arrival Chief Curry warned that the Dallas police would not permit improper conduct during the President's visit.|Two days before the President's arrival Chief Curry warned that the Dallas police would not permit improper conduct during the President's visit.
LJ029-0201|Meanwhile, on November 17|Meanwhile, on November seventeen
LJ029-0202|the president of the Dallas Chamber of Commerce referred to the city's reputation for being the friendliest town in America and asserted that citizens would, quote,|the president of the Dallas Chamber of Commerce referred to the city's reputation for being the friendliest town in America and asserted that citizens would, quote,
LJ029-0203|greet the President of the United States with the warmth and pride that keep the Dallas spirit famous the world over, end quote,|greet the President of the United States with the warmth and pride that keep the Dallas spirit famous the world over, end quote,
LJ029-0204|Two days later, a local Republican leader called for a "civilized nonpartisan" welcome|Two days later, a local Republican leader called for a "civilized nonpartisan" welcome
LJ029-0205|for President Kennedy, stating that "in many respects Dallas County has isolated itself from the main stream of life in the world in this decade.|for President Kennedy, stating that "in many respects Dallas County has isolated itself from the main stream of life in the world in this decade.
LJ029-0206|Another reaction to the impending visit -- hostile to the President -- came to a head shortly before his arrival.|Another reaction to the impending visit -- hostile to the President -- came to a head shortly before his arrival.
LJ029-0207|On November 21 there appeared on the streets of Dallas the anonymous handbill mentioned above.|On November twenty-one there appeared on the streets of Dallas the anonymous handbill mentioned above.
LJ029-0208|It was fashioned after the "wanted" circulars issued by law enforcement agencies.|It was fashioned after the "wanted" circulars issued by law enforcement agencies.
LJ029-0209|Beneath two photographs of President Kennedy, one full- face and one profile, appeared the caption, quote, Wanted for Treason,|Beneath two photographs of President Kennedy, one full- face and one profile, appeared the caption, quote, Wanted for Treason,
LJ029-0210|end quote, followed by a scurrilous bill of particulars that constituted a vilification of the President.|end quote, followed by a scurrilous bill of particulars that constituted a vilification of the President.
LJ029-0211|And on the morning of the President's arrival, there appeared in the Morning News a full, black-bordered advertisement headed:|And on the morning of the President's arrival, there appeared in the Morning News a full, black-bordered advertisement headed:
LJ029-0212|"Welcome Mr. Kennedy to Dallas," sponsored by the American Fact-finding Committee, which the sponsor later testified was an ad hoc committee|"Welcome Mr. Kennedy to Dallas," sponsored by the American Fact-finding Committee, which the sponsor later testified was an ad hoc committee
LJ029-0213|quote, formed strictly for the purpose of having a name to put in the paper, end quote,|quote, formed strictly for the purpose of having a name to put in the paper, end quote,
LJ030-0001|Report of the President's Commission on the Assassination of President Kennedy. The Warren Commission Report. By The President's Commission on the Assassination of President Kennedy.|Report of the President's Commission on the Assassination of President Kennedy. The Warren Commission Report. By The President's Commission on the Assassination of President Kennedy.
LJ030-0002|Chapter 2. The Assassination: Part 2.|Chapter two. The Assassination: Part two.
LJ030-0003|Visits to Other Texas Cities|Visits to Other Texas Cities
LJ030-0004|The trip to Texas began with the departure of President and Mrs. Kennedy from the White House|The trip to Texas began with the departure of President and Mrs. Kennedy from the White House
LJ030-0005|by helicopter at 10:45 A.M., Eastern Standard Time, on November 21, 1963, for Andrews Air Force Base.|by helicopter at ten:forty-five A.M., Eastern Standard Time, on November twenty-one, nineteen sixty-three, for Andrews Air Force Base.
LJ030-0006|They took off in the Presidential plane, Air Force One, at 11 a.m., arriving at San Antonio at 1:30 p.m., Eastern Standard Time.|They took off in the Presidential plane, Air Force One, at eleven a.m., arriving at San Antonio at one:thirty p.m., Eastern Standard Time.
LJ030-0007|They were greeted by Vice President Johnson and Governor Connally, who joined the Presidential party in a motorcade through San Antonio.|They were greeted by Vice President Johnson and Governor Connally, who joined the Presidential party in a motorcade through San Antonio.
LJ030-0008|During the afternoon, President Kennedy dedicated the U.S. Air Force School of Aerospace Medicine at Brooks Air Force Base.|During the afternoon, President Kennedy dedicated the U.S. Air Force School of Aerospace Medicine at Brooks Air Force Base.
LJ030-0009|Late in the afternoon he flew to Houston where he rode through the city in a motorcade,|Late in the afternoon he flew to Houston where he rode through the city in a motorcade,
LJ030-0010|spoke at the Rice University Stadium, and attended a dinner in honor of U.S. Representative Albert Thomas.|spoke at the Rice University Stadium, and attended a dinner in honor of U.S. Representative Albert Thomas.
LJ030-0011|At Rice Stadium a very large, enthusiastic crowd greeted the President.|At Rice Stadium a very large, enthusiastic crowd greeted the President.
LJ030-0012|In Houston, as elsewhere during the trip, the crowds showed much interest in Mrs. Kennedy.|In Houston, as elsewhere during the trip, the crowds showed much interest in Mrs. Kennedy.
LJ030-0013|David F. Powers of the President's staff later stated that when the President asked for his assessment of the day's activities, Powers replied|David F. Powers of the President's staff later stated that when the President asked for his assessment of the day's activities, Powers replied
LJ030-0014|quote, that the crowd was about the same as the one which came to see him before but there were 100,000 extra people on hand who came to see Mrs. Kennedy.|quote, that the crowd was about the same as the one which came to see him before but there were one hundred thousand extra people on hand who came to see Mrs. Kennedy.
LJ030-0015|Late in the evening, the Presidential party flew to Fort Worth where they spent the night at the Texas Hotel.|Late in the evening, the Presidential party flew to Fort Worth where they spent the night at the Texas Hotel.
LJ030-0016|On the morning of November 22, President Kennedy attended a breakfast at the hotel and afterward addressed a crowd at an open parking lot.|On the morning of November twenty-two, President Kennedy attended a breakfast at the hotel and afterward addressed a crowd at an open parking lot.
LJ030-0017|The President liked outdoor appearances because more people could see and hear him.|The President liked outdoor appearances because more people could see and hear him.
LJ030-0018|Before leaving the hotel, the President, Mrs. Kennedy, and Kenneth O'Donnell talked about the risks inherent in Presidential public appearances.|Before leaving the hotel, the President, Mrs. Kennedy, and Kenneth O'Donnell talked about the risks inherent in Presidential public appearances.
LJ030-0019|According to O'Donnell, the President commented that, quote,|According to O'Donnell, the President commented that, quote,
LJ030-0020|if anybody really wanted to shoot the President of the United States, it was not a very difficult job|if anybody really wanted to shoot the President of the United States, it was not a very difficult job
LJ030-0021|all one had to do was get a high building someday with a telescopic rifle, and there was nothing anybody could do to defend against such an attempt.|all one had to do was get a high building someday with a telescopic rifle, and there was nothing anybody could do to defend against such an attempt.
LJ030-0022|Upon concluding the conversation, the President prepared to depart for Dallas.|Upon concluding the conversation, the President prepared to depart for Dallas.
LJ030-0023|Arrival at Love Field|Arrival at Love Field
LJ030-0024|In Dallas the rain had stopped, and by midmorning a gloomy overcast sky had given way to the bright sunshine that greeted the Presidential party|In Dallas the rain had stopped, and by midmorning a gloomy overcast sky had given way to the bright sunshine that greeted the Presidential party
LJ030-0025|when Air Force One touched down at Love Field at 11:40 a.m., Eastern Standard Time.|when Air Force One touched down at Love Field at eleven:forty a.m., Eastern Standard Time.
LJ030-0026|Governor and Mrs. Connally and Senator Ralph W. Yarborough had come with the President from Fort Worth.|Governor and Mrs. Connally and Senator Ralph W. Yarborough had come with the President from Fort Worth.
LJ030-0027|Vice President Johnson's airplane, Air Force Two, had arrived at Love Field at approximately 11:35 a.m.,|Vice President Johnson's airplane, Air Force Two, had arrived at Love Field at approximately eleven:thirty-five a.m.,
LJ030-0028|and the Vice President and Mrs. Johnson were in the receiving line to greet President and Mrs. Kennedy.|and the Vice President and Mrs. Johnson were in the receiving line to greet President and Mrs. Kennedy.
LJ030-0029|After a welcome from the Dallas reception committee,|After a welcome from the Dallas reception committee,
LJ030-0030|President and Mrs. Kennedy walked along a chain-link fence at the reception area greeting a large crowd of spectators that had gathered behind it.|President and Mrs. Kennedy walked along a chain-link fence at the reception area greeting a large crowd of spectators that had gathered behind it.
LJ030-0031|Secret Service agents formed a cordon to keep the press and photographers from impeding their passage and scanned the crowd for threatening movements.|Secret Service agents formed a cordon to keep the press and photographers from impeding their passage and scanned the crowd for threatening movements.
LJ030-0032|Dallas police stood at intervals along the fence and Dallas plain clothes men mixed in the crowd.|Dallas police stood at intervals along the fence and Dallas plain clothes men mixed in the crowd.
LJ030-0033|Vice President and Mrs. Johnson followed along the fence, guarded by four members of the Vice-Presidential detail.|Vice President and Mrs. Johnson followed along the fence, guarded by four members of the Vice-Presidential detail.
LJ030-0034|Approximately 10 minutes after the arrival at Love Field, the President and Mrs. Kennedy went to the Presidential automobile to begin the motorcade.|Approximately ten minutes after the arrival at Love Field, the President and Mrs. Kennedy went to the Presidential automobile to begin the motorcade.
LJ030-0035|Organization of the Motorcade|Organization of the Motorcade
LJ030-0036|Secret Service arrangements for Presidential trips, which were followed in the Dallas motorcade,|Secret Service arrangements for Presidential trips, which were followed in the Dallas motorcade,
LJ030-0037|are designed to provide protection while permitting large numbers of people to see the President.|are designed to provide protection while permitting large numbers of people to see the President.
