LJ031-0001|Report of the President's Commission on the Assassination of President Kennedy.|Report of the President's Commission on the Assassination of President Kennedy.
LJ039-0009|When Marina Oswald testified before the Commission on February 3 to 6, 1964,|When Marina Oswald testified before the Commission on February three to six, nineteen sixty-four,
LJ039-0010|she had failed to mention the incident when she was asked whether Oswald had ever expressed any hostility|she had failed to mention the incident when she was asked whether Oswald had ever expressed any hostility
LJ039-0011|toward any official of the United States.|toward any official of the United States.
LJ039-0012|The Commission first learned of this incident when Robert Oswald related it to FBI agents on February 19, 1964,|The Commission first learned of this incident when Robert Oswald related it to FBI agents on February nineteen, nineteen sixty-four,
LJ039-0013|and to the Commission on February 21.|and to the Commission on February twenty-one.
LJ039-0014|Marina Oswald appeared before the Commission again on June 11, 1964,|Marina Oswald appeared before the Commission again on June eleven, nineteen sixty-four,
LJ039-0015|and testified that a few days before her husband's departure from Dallas to New Orleans on April 24, 1963,|and testified that a few days before her husband's departure from Dallas to New Orleans on April twenty-four, nineteen sixty-three,
LJ039-0016|he finished reading a morning newspaper, quote, and put on a good suit. I saw that he took a pistol.|he finished reading a morning newspaper, quote, and put on a good suit. I saw that he took a pistol.
LJ039-0017|I asked him where he was going, and why he was getting dressed. He answered Nixon is coming. I want to go and have a look, end quote.|I asked him where he was going, and why he was getting dressed. He answered Nixon is coming. I want to go and have a look, end quote.
LJ039-0018|He also said that he would use the pistol if the opportunity arose.|He also said that he would use the pistol if the opportunity arose.
LJ039-0019|She reminded him that after the Walker shooting he had promised never to repeat such an act.|She reminded him that after the Walker shooting he had promised never to repeat such an act.
LJ039-0020|Marina Oswald related the events which followed, quote,|Marina Oswald related the events which followed, quote,
LJ039-0021|I called him into the bathroom and I closed the door and I wanted to prevent him and then I started to cry.|I called him into the bathroom and I closed the door and I wanted to prevent him and then I started to cry.
LJ039-0022|And I told him that he shouldn't do this, and that he had promised me.|And I told him that he shouldn't do this, and that he had promised me.
LJ039-0023|I remember that I held him. We actually struggled for several minutes and then he quieted down. End quote.|I remember that I held him. We actually struggled for several minutes and then he quieted down. End quote.
LJ039-0024|She stated that it was not physical force which kept him from leaving the house. Quote, I couldn't keep him from going out if he really wanted to, end quote.|She stated that it was not physical force which kept him from leaving the house. Quote, I couldn't keep him from going out if he really wanted to, end quote.
LJ039-0025|After further questioning|After further questioning
LJ039-0026|she stated that she might have been confused about shutting him in the bathroom, but that, quote, there is no doubt that he got dressed and got a gun, end quote,|she stated that she might have been confused about shutting him in the bathroom, but that, quote, there is no doubt that he got dressed and got a gun, end quote,
LJ039-0027|Oswald's revolver|Oswald's revolver
LJ039-0028|was shipped from Los Angeles on March 20, 1963, and he left for New Orleans on April 24, 1963.|was shipped from Los Angeles on March twenty, nineteen sixty-three, and he left for New Orleans on April twenty-four, nineteen sixty-three.
LJ039-0029|No edition of either Dallas newspaper during the period January 1, 1963, to May 15, 1963,|No edition of either Dallas newspaper during the period January one, nineteen sixty-three, to May fifteen, nineteen sixty-three,
LJ039-0030|mentioned any proposed visit by Mr. Nixon to Dallas.|mentioned any proposed visit by Mr. Nixon to Dallas.
LJ039-0031|Mr. Nixon advised the Commission that the only time he was in Dallas in 1963|Mr. Nixon advised the Commission that the only time he was in Dallas in nineteen sixty-three
LJ039-0032|was on November 20 to 21, 1963.|was on November twenty to twenty-one, nineteen sixty-three.
LJ039-0033|An investigation failed to reveal any invitation extended to Mr. Nixon during the period when Oswald's threat reportedly occurred.|An investigation failed to reveal any invitation extended to Mr. Nixon during the period when Oswald's threat reportedly occurred.
LJ039-0034|The Commission has concluded, therefore, that regardless of what Oswald may have said to his wife|The Commission has concluded, therefore, that regardless of what Oswald may have said to his wife
LJ039-0035|he was not actually planning to shoot Mr. Nixon at that time in Dallas.|he was not actually planning to shoot Mr. Nixon at that time in Dallas.
LJ039-0036|On April 23, 1963,|On April twenty-three, nineteen sixty-three,
LJ039-0037|Vice President Lyndon B. Johnson was in Dallas for a visit which had been publicized in the Dallas newspapers|Vice President Lyndon B. Johnson was in Dallas for a visit which had been publicized in the Dallas newspapers
LJ039-0038|throughout April. The Commission asked Marina Oswald whether she might have misunderstood the object of her husband's threat. She stated, quote,|throughout April. The Commission asked Marina Oswald whether she might have misunderstood the object of her husband's threat. She stated, quote,
LJ039-0039|there is no question that in this incident it was a question of Mr. Nixon, end quote.|there is no question that in this incident it was a question of Mr. Nixon, end quote.
LJ039-0040|When asked later whether it might have been Mr. Johnson, she said, quote, Yes, no.|When asked later whether it might have been Mr. Johnson, she said, quote, Yes, no.
LJ039-0041|I am getting a little confused with so many questions.|I am getting a little confused with so many questions.
LJ039-0042|I was absolutely convinced it was Nixon and now after all these questions I wonder if I am right in my mind? End quote.|I was absolutely convinced it was Nixon and now after all these questions I wonder if I am right in my mind? End quote.
LJ039-0043|She stated further that Oswald had only mentioned Nixon's name once during the incident. Marina Oswald might have misunderstood her husband.|She stated further that Oswald had only mentioned Nixon's name once during the incident. Marina Oswald might have misunderstood her husband.
LJ039-0044|Mr. Johnson was the then Vice President and his visit took place on April 23rd.|Mr. Johnson was the then Vice President and his visit took place on April twenty-third.
LJ039-0045|This was 1 day before Oswald left for New Orleans and Marina appeared certain that the Nixon incident, quote,|This was one day before Oswald left for New Orleans and Marina appeared certain that the Nixon incident, quote,
LJ039-0046|wasn't the day before. Perhaps 3 days before, end quote.|wasn't the day before. Perhaps three days before, end quote.
LJ039-0047|Marina Oswald speculated that the incident may have been unrelated to an actual threat.|Marina Oswald speculated that the incident may have been unrelated to an actual threat.
LJ039-0048|She said, quote, It might have been that he was just trying to test me.|She said, quote, It might have been that he was just trying to test me.
LJ039-0049|He was the kind of person who could try and wound somebody in that way. Possibly he didn't want to go out at all but was just doing this all as a sort of joke,|He was the kind of person who could try and wound somebody in that way. Possibly he didn't want to go out at all but was just doing this all as a sort of joke,
LJ039-0050|not really as a joke but rather to simply wound me, to make me feel bad, end quote.|not really as a joke but rather to simply wound me, to make me feel bad, end quote.
LJ039-0051|In the absence of other evidence that Oswald actually intended to shoot someone at this time,|In the absence of other evidence that Oswald actually intended to shoot someone at this time,
LJ039-0052|the Commission concluded that the incident, as described by Marina Oswald,|the Commission concluded that the incident, as described by Marina Oswald,
LJ039-0053|was of no probative value in the Commission's decision concerning the identity of the assassin of President Kennedy.|was of no probative value in the Commission's decision concerning the identity of the assassin of President Kennedy.
LJ039-0054|Oswald's Rifle Capability|Oswald's Rifle Capability
LJ039-0055|In deciding whether Lee Harvey Oswald fired the shots which killed President Kennedy and wounded Governor Connally,|In deciding whether Lee Harvey Oswald fired the shots which killed President Kennedy and wounded Governor Connally,
LJ039-0056|the Commission considered whether Oswald, using his own rifle,|the Commission considered whether Oswald, using his own rifle,
LJ039-0057|possessed the capability to hit his target with two out of three shots under the conditions described in chapter 3.|possessed the capability to hit his target with two out of three shots under the conditions described in chapter three.
LJ039-0058|The Commission evaluated (1) the nature of the shots, (2) Oswald's Marine training in marksmanship,|The Commission evaluated (one) the nature of the shots, (two) Oswald's Marine training in marksmanship,
LJ039-0059|(3) his experience and practice after leaving the Marine Corps, and (4) the accuracy of the weapon and the quality of the ammunition.|(three) his experience and practice after leaving the Marine Corps, and (four) the accuracy of the weapon and the quality of the ammunition.
LJ039-0060|The Nature of the Shots|The Nature of the Shots
LJ039-0061|For a rifleman situated on the sixth floor of the Texas School Book Depository Building|For a rifleman situated on the sixth floor of the Texas School Book Depository Building
LJ039-0062|the shots were at a slow-moving target proceeding on a downgrade in virtually a straight line|the shots were at a slow-moving target proceeding on a downgrade in virtually a straight line
LJ039-0063|with the alinement of the assassin's rifle, at a range of 177 to 266 feet.|with the alinement of the assassin's rifle, at a range of one hundred seventy-seven to two hundred sixty-six feet.
LJ039-0064|An aerial photograph of Dealey Plaza shows that Elm Street runs at an angle|An aerial photograph of Dealey Plaza shows that Elm Street runs at an angle
LJ039-0065|so that the President would have been moving in an almost straight line away from the assassin's rifle.|so that the President would have been moving in an almost straight line away from the assassin's rifle.
LJ039-0066|In addition, the 3 degree downward slope of Elm Street was of assistance in eliminating at least some of the adjustment|In addition, the three degree downward slope of Elm Street was of assistance in eliminating at least some of the adjustment
LJ039-0067|which is ordinarily required when a marksman must raise his rifle as a target moves farther away.|which is ordinarily required when a marksman must raise his rifle as a target moves farther away.
LJ039-0068|Four marksmanship experts testified before the Commission.|Four marksmanship experts testified before the Commission.
LJ039-0069|Maj. Eugene D. Anderson, assistant head of the Marksmanship Branch of U.S. Marine Corps|Maj. Eugene D. Anderson, assistant head of the Marksmanship Branch of U.S. Marine Corps
LJ039-0070|testified that the shots which struck the President in the neck and in the head were, quote, not particularly difficult, end quote.|testified that the shots which struck the President in the neck and in the head were, quote, not particularly difficult, end quote.
LJ039-0071|Robert A. Frazier, FBI expert in firearms identification and training, said, quote,|Robert A. Frazier, FBI expert in firearms identification and training, said, quote,
LJ039-0072|From my own experience in shooting over the years,|From my own experience in shooting over the years,
LJ039-0073|when you shoot at 175 feet or 260 feet, which is less than a hundred yards, with a telescopic sight,|when you shoot at one hundred seventy-five feet or two hundred sixty feet, which is less than a hundred yards, with a telescopic sight,
LJ039-0074|you should not have any difficulty in hitting your target. I mean it requires no training at all to shoot a weapon with a telescopic sight|you should not have any difficulty in hitting your target. I mean it requires no training at all to shoot a weapon with a telescopic sight
LJ039-0075|once you know that you must put the crosshairs on the target and that is all that is necessary.|once you know that you must put the crosshairs on the target and that is all that is necessary.
LJ039-0076|Ronald Simmons, chief of the U.S. Army Infantry Weapons Evaluation Branch of the Ballistics Research Laboratory, said, quote,|Ronald Simmons, chief of the U.S. Army Infantry Weapons Evaluation Branch of the Ballistics Research Laboratory, said, quote,
LJ039-0077|Well, in order to achieve three hits, it would not be required that a man be an exceptional shot. A proficient man with this weapon, yes, end quote.|Well, in order to achieve three hits, it would not be required that a man be an exceptional shot. A proficient man with this weapon, yes, end quote.
LJ039-0078|The effect of a four-power telescopic sight on the difficulty of these shots was considered in detail|The effect of a four-power telescopic sight on the difficulty of these shots was considered in detail
LJ039-0079|by Master Sgt. James A. Zahm, noncommissioned officer in charge of the Marksmanship Training Unit in the Weapons Training Battalion|by Master Sgt. James A. Zahm, noncommissioned officer in charge of the Marksmanship Training Unit in the Weapons Training Battalion
LJ039-0080|of the Marine Corps School at Quantico, Virginia.|of the Marine Corps School at Quantico, Virginia.
LJ039-0081|Referring to a rifle with a four-power telescope, Sergeant Zahm said, quote,|Referring to a rifle with a four-power telescope, Sergeant Zahm said, quote,
LJ039-0082|this is the ideal type of weapon for moving targets|this is the ideal type of weapon for moving targets
LJ039-0083|Using the scope, rapidly working a bolt and using the scope to relocate your target quickly and at the same time when you locate that target|Using the scope, rapidly working a bolt and using the scope to relocate your target quickly and at the same time when you locate that target
LJ039-0084|you identify it and the crosshairs are in close relationship to the point you want to shoot at,|you identify it and the crosshairs are in close relationship to the point you want to shoot at,
LJ039-0085|it just takes a minor move in aiming to bring the crosshairs to bear, and then it is a quick squeeze.|it just takes a minor move in aiming to bring the crosshairs to bear, and then it is a quick squeeze.
LJ039-0086|I consider it a real advantage, particularly at the range of 100 yards, in identifying your target.|I consider it a real advantage, particularly at the range of one hundred yards, in identifying your target.
LJ039-0087|It allows you to see your target clearly, and it is still of a minimum amount of power that it doesn't exaggerate your own body movements.|It allows you to see your target clearly, and it is still of a minimum amount of power that it doesn't exaggerate your own body movements.
LJ039-0088|It just is an aid in seeing in the fact that you only have the one element, the crosshair,|It just is an aid in seeing in the fact that you only have the one element, the crosshair,
LJ039-0089|in relation to the target as opposed to iron sights with aligning the sights and then aligning them on the target, end quote.|in relation to the target as opposed to iron sights with aligning the sights and then aligning them on the target, end quote.
LJ039-0090|Characterizing the four-power scope as, quote, a real aid, an extreme aid, end quote, in rapid fire shooting,|Characterizing the four-power scope as, quote, a real aid, an extreme aid, end quote, in rapid fire shooting,
LJ039-0091|Sergeant Zahm expressed the opinion that the shot which struck President Kennedy in the neck at 176.9|Sergeant Zahm expressed the opinion that the shot which struck President Kennedy in the neck at one hundred seventy-six point nine
LJ039-0092|to 190.8 feet was, quote, very easy, end quote, and the shot which struck the President in the head|to one hundred ninety point eight feet was, quote, very easy, end quote, and the shot which struck the President in the head
LJ039-0093|at a distance of 265.3 feet was, quote, an easy shot, end quote.|at a distance of two hundred sixty-five point three feet was, quote, an easy shot, end quote.
LJ039-0094|After viewing photographs depicting the alignment of Elm Street in relation to the Texas School Book Depository Building,|After viewing photographs depicting the alignment of Elm Street in relation to the Texas School Book Depository Building,
LJ039-0095|Zahm stated further, quote,|Zahm stated further, quote,
LJ039-0096|This is a definite advantage to the shooter, the vehicle moving directly away from him and the downgrade of the street, and he being in an elevated position|This is a definite advantage to the shooter, the vehicle moving directly away from him and the downgrade of the street, and he being in an elevated position
LJ039-0097|made an almost stationary target while he was aiming in, very little movement if any, end quote.|made an almost stationary target while he was aiming in, very little movement if any, end quote.
LJ039-0098|Oswald's Marine Training|Oswald's Marine Training
LJ039-0099|In accordance with standard Marine procedures, Oswald received extensive training in marksmanship.|In accordance with standard Marine procedures, Oswald received extensive training in marksmanship.
LJ039-0100|During the first week of an intensive 8-week training period he received instruction in sighting, aiming, and manipulation of the trigger.|During the first week of an intensive eight-week training period he received instruction in sighting, aiming, and manipulation of the trigger.
LJ039-0101|He went through a series of exercises called dry firing where he assumed all positions which would later be used in the qualification course.|He went through a series of exercises called dry firing where he assumed all positions which would later be used in the qualification course.
LJ039-0102|After familiarization with live ammunition in the .22 rifle and the .22 pistol,|After familiarization with live ammunition in the twenty-two rifle and the twenty-two pistol,
LJ039-0104|firing 50 rounds each day for five days.|firing fifty rounds each day for five days.
LJ039-0105|Following that training, Oswald was tested in December of 1956, and obtained a score of 212,|Following that training, Oswald was tested in December of nineteen fifty-six, and obtained a score of two hundred twelve,
LJ039-0106|which was 2 points above the minimum for qualifications as a "sharpshooter" in a scale of marksman, sharpshooter, expert.|which was two points above the minimum for qualifications as a "sharpshooter" in a scale of marksman, sharpshooter, expert.
LJ039-0107|In May of 1959, on another range, Oswald scored 191, which was 1 point over the minimum for ranking as a "marksman."|In May of nineteen fifty-nine, on another range, Oswald scored one hundred ninety-one, which was one point over the minimum for ranking as a "marksman."
LJ039-0108|The Marine Corps records maintained on Oswald further show that he had fired and was familiar with the Browning Automatic rifle,|The Marine Corps records maintained on Oswald further show that he had fired and was familiar with the Browning Automatic rifle,
LJ039-0109|.45 caliber pistol, and 12-gauge riot gun.|forty-five caliber pistol, and twelve-gauge riot gun.
LJ039-0110|Based on the general Marine Corps ratings, Lt. Col. A. G. Folsom, Jr.|Based on the general Marine Corps ratings, Lt. Col. A. G. Folsom, Jr.
LJ039-0111|head, Records Branch, Personnel Department, Headquarters U.S. Marine Corps,|head, Records Branch, Personnel Department, Headquarters U.S. Marine Corps,
LJ039-0112|evaluated the sharpshooter qualification as a, quote, fairly good shot, end quote, and a low marksman rating|evaluated the sharpshooter qualification as a, quote, fairly good shot, end quote, and a low marksman rating
LJ039-0113|as a, quote, rather poor shot, end quote.|as a, quote, rather poor shot, end quote.
LJ039-0114|When asked to explain the different scores achieved by Oswald on the two occasions when he fired for record,|When asked to explain the different scores achieved by Oswald on the two occasions when he fired for record,
LJ039-0115|Major Anderson said, quote, when he fired that two twelve|Major Anderson said, quote, when he fired that two twelve
LJ039-0116|he had just completed a very intensive preliminary training period.|he had just completed a very intensive preliminary training period.
LJ039-0117|He had the services of an experienced highly trained coach.|He had the services of an experienced highly trained coach.
LJ039-0118|He had high motivation. He had presumably a good to excellent rifle and good ammunition.|He had high motivation. He had presumably a good to excellent rifle and good ammunition.
LJ039-0119|We have nothing here to show under what conditions the B course was fired. It might well have been a bad day for firing the rifle|We have nothing here to show under what conditions the B course was fired. It might well have been a bad day for firing the rifle
LJ039-0120|windy, rainy, dark. There is little probability that he had good, expert coach,|windy, rainy, dark. There is little probability that he had good, expert coach,
LJ039-0121|and he probably didn't have as high a motivation because he was no longer in recruit training and under the care of the drill instructor.|and he probably didn't have as high a motivation because he was no longer in recruit training and under the care of the drill instructor.
LJ039-0122|There is some possibility that the rifle he was firing might not have been as good a rifle as the rifle that he was firing in his A course firing,|There is some possibility that the rifle he was firing might not have been as good a rifle as the rifle that he was firing in his A course firing,
LJ039-0123|because he may well have carried this rifle for quite some time, and it got banged around in normal usage.|because he may well have carried this rifle for quite some time, and it got banged around in normal usage.
LJ039-0124|End quote. Major Anderson concluded, quote, I would say that as compared to other Marines receiving the same type of training,|End quote. Major Anderson concluded, quote, I would say that as compared to other Marines receiving the same type of training,
LJ039-0125|that Oswald was a good shot, somewhat better than or equal to -- better than the average let us say.|that Oswald was a good shot, somewhat better than or equal to -- better than the average let us say.
LJ039-0126|As compared to a civilian who had not received this intensive training, he would be considered as a good to excellent shot. End quote.|As compared to a civilian who had not received this intensive training, he would be considered as a good to excellent shot. End quote.
LJ039-0127|When Sergeant Zahm was asked whether Oswald's Marine Corps training would have made it easier to operate a rifle with a four-power scope, he replied, quote,|When Sergeant Zahm was asked whether Oswald's Marine Corps training would have made it easier to operate a rifle with a four-power scope, he replied, quote,
LJ039-0128|Based on that training, his basic knowledge in sight manipulation and trigger squeeze and what not, I would say that he would be capable of sighting that rifle in well,|Based on that training, his basic knowledge in sight manipulation and trigger squeeze and what not, I would say that he would be capable of sighting that rifle in well,
LJ039-0129|firing it, with 10 rounds.|firing it, with ten rounds.
LJ039-0130|After reviewing Oswald's marksmanship scores,|After reviewing Oswald's marksmanship scores,
LJ039-0131|Sergeant Zahm concluded, quote, I would say in the Marine Corps he is a good shot, slightly above average,|Sergeant Zahm concluded, quote, I would say in the Marine Corps he is a good shot, slightly above average,
LJ039-0132|and as compared to the average male of his age throughout the civilian, throughout the United States, that he is an excellent shot, end quote.|and as compared to the average male of his age throughout the civilian, throughout the United States, that he is an excellent shot, end quote.
LJ039-0133|Oswald's Rifle Practice Outside the Marines|Oswald's Rifle Practice Outside the Marines
LJ039-0134|During one of his leaves from the Marines, Oswald hunted with his brother Robert,|During one of his leaves from the Marines, Oswald hunted with his brother Robert,
LJ039-0135|using a .22 caliber bolt-action rifle belonging either to Robert or Robert's in-laws.|using a twenty-two caliber bolt-action rifle belonging either to Robert or Robert's in-laws.
LJ039-0136|After he left the Marines and before departing for Russia, Oswald, his brother, and a third companion went hunting for squirrels and rabbits.|After he left the Marines and before departing for Russia, Oswald, his brother, and a third companion went hunting for squirrels and rabbits.
LJ039-0137|On that occasion Oswald again used a bolt-action .22 caliber rifle; and according to Robert,|On that occasion Oswald again used a bolt-action twenty-two caliber rifle; and according to Robert,
LJ039-0138|Lee Oswald exhibited an average amount of proficiency with that weapon.|Lee Oswald exhibited an average amount of proficiency with that weapon.
LJ039-0139|Oswald obtained a hunting license, joined a hunting club and went hunting about six times, as discussed more fully in chapter 6.|Oswald obtained a hunting license, joined a hunting club and went hunting about six times, as discussed more fully in chapter six.
LJ039-0140|Soon after Oswald returned from the Soviet Union|Soon after Oswald returned from the Soviet Union
LJ039-0141|he again went hunting with his brother, Robert, and used a borrowed .22 caliber bolt-action rifle.|he again went hunting with his brother, Robert, and used a borrowed twenty-two caliber bolt-action rifle.
LJ039-0142|After Oswald purchased the Mannlicher-Carcano rifle, he told his wife that he practiced with it.|After Oswald purchased the Mannlicher-Carcano rifle, he told his wife that he practiced with it.
LJ039-0143|Marina Oswald testified that on one occasion she saw him take the rifle, concealed in a raincoat, from the house on Neely Street.|Marina Oswald testified that on one occasion she saw him take the rifle, concealed in a raincoat, from the house on Neely Street.
LJ039-0144|Oswald told her he was going to practice with it.|Oswald told her he was going to practice with it.
LJ039-0145|According to George De Mohrenschildt, Oswald said that he went target shooting with that rifle.|According to George De Mohrenschildt, Oswald said that he went target shooting with that rifle.
LJ039-0146|Marina Oswald testified that in New Orleans in May of 1963, she observed Oswald sitting with the rifle on their screened porch at night,|Marina Oswald testified that in New Orleans in May of nineteen sixty-three, she observed Oswald sitting with the rifle on their screened porch at night,
LJ039-0147|sighting with the telescopic lens and operating the bolt.|sighting with the telescopic lens and operating the bolt.
LJ039-0148|Examination of the cartridge cases found on the sixth floor of the Depository Building|Examination of the cartridge cases found on the sixth floor of the Depository Building
LJ039-0150|which would indicate that Oswald practiced operating the bolt.|which would indicate that Oswald practiced operating the bolt.
LJ039-0151|Accuracy of Weapon|Accuracy of Weapon
LJ039-0152|It will be recalled from the discussion in chapter 3|It will be recalled from the discussion in chapter three
LJ039-0153|that the assassin in all probability hit two out of the three shots during the maximum time span of|that the assassin in all probability hit two out of the three shots during the maximum time span of
LJ039-0154|4.8 to 5.6 seconds if the second shot missed,|four point eight to five point six seconds if the second shot missed,
LJ039-0155|or, if either the first or third shots missed, the assassin fired the three shots during a minimum time span of 7.1|or, if either the first or third shots missed, the assassin fired the three shots during a minimum time span of seven point one
LJ039-0156|to 7.9 seconds.|to seven point nine seconds.
LJ039-0157|A series of tests were performed to determine whether the weapon and ammunition used in the assassination|A series of tests were performed to determine whether the weapon and ammunition used in the assassination
LJ039-0158|were capable of firing the shots which were fired by the assassin on November 22, 1963.|were capable of firing the shots which were fired by the assassin on November twenty-two, nineteen sixty-three.
LJ039-0159|The ammunition used by the assassin was manufactured by Western Cartridge Co. of East Alton, Illinois.|The ammunition used by the assassin was manufactured by Western Cartridge Co. of East Alton, Illinois.
LJ039-0160|In tests with the Mannlicher-Carcano C2766 rifle, over 100 rounds of this ammunition were fired by the FBI|In tests with the Mannlicher-Carano C twenty-seven sixty-six rifle, over one hundred rounds of this ammunition were fired by the FBI
LJ039-0161|and the Infantry Weapons Evaluation Branch of the U.S. Army. There were no misfires.|and the Infantry Weapons Evaluation Branch of the U.S. Army. There were no misfires.
LJ039-0162|In an effort to test the rifle under conditions which simulated those which prevailed during the assassination,|In an effort to test the rifle under conditions which simulated those which prevailed during the assassination,
LJ039-0163|the Infantry Weapons Evaluation Branch of the Ballistics Research Laboratory had expert riflemen fire the assassination weapon|the Infantry Weapons Evaluation Branch of the Ballistics Research Laboratory had expert riflemen fire the assassination weapon
LJ039-0164|from a tower at three silhouette targets at distances of 175, 240, and 265 feet.|from a tower at three silhouette targets at distances of one hundred seventy-five, two hundred forty, and two hundred sixty-five feet.
LJ039-0165|The target at 265 feet was placed to the right of the 240-foot target|The target at two hundred sixty-five feet was placed to the right of the two hundred forty-foot target
LJ039-0166|which was in turn placed to the right of the closest silhouette.|which was in turn placed to the right of the closest silhouette.
LJ039-0167|Using the assassination rifle mounted with the telescopic sight, three marksmen, rated as master by the National Rifle Association,|Using the assassination rifle mounted with the telescopic sight, three marksmen, rated as master by the National Rifle Association,
LJ039-0168|each fired two series of three shots.|each fired two series of three shots.
LJ039-0169|In the first series the firers required time spans of 4.6, 6.75,|In the first series the firers required time spans of four point six, six point seven five,
LJ039-0170|and 8.25 seconds respectively.|and eight point two five seconds respectively.
LJ039-0171|On the second series they required 5.15, 6.45, and 7 seconds.|On the second series they required five point one five, six point four five, and seven seconds.
LJ039-0172|None of the marksmen had any practice with the assassination weapon except for exercising the bolt for 2 or 3 minutes on a dry run.|None of the marksmen had any practice with the assassination weapon except for exercising the bolt for two or three minutes on a dry run.
LJ039-0173|They had not even pulled the trigger because of concern about breaking the firing pin.|They had not even pulled the trigger because of concern about breaking the firing pin.
LJ039-0174|The marksmen took as much time as they wanted for the first target and all hit the target.|The marksmen took as much time as they wanted for the first target and all hit the target.
LJ039-0175|For the first four attempts, the firers missed the second shot by several inches.|For the first four attempts, the firers missed the second shot by several inches.
LJ039-0176|The angle from the first to the second shot|The angle from the first to the second shot
LJ039-0177|was greater than from the second to the third shot and required a movement in the basic firing position of the marksmen.|was greater than from the second to the third shot and required a movement in the basic firing position of the marksmen.
LJ039-0178|This angle was used in the test because the majority of the eyewitnesses to the assassination|This angle was used in the test because the majority of the eyewitnesses to the assassination
LJ039-0179|stated that there was a shorter interval between shots two and three than between shots one and two.|stated that there was a shorter interval between shots two and three than between shots one and two.
LJ039-0180|As has been shown in chapter 3, if the three shots were fired within a period of from 4.8 to 5.6 seconds,|As has been shown in chapter three, if the three shots were fired within a period of from four point eight to five point six seconds,
LJ039-0181|the shots would have been evenly spaced and the assassin would not have incurred so sharp an angular movement.|the shots would have been evenly spaced and the assassin would not have incurred so sharp an angular movement.
LJ039-0182|Five of the six shots hit the third target where the angle of movement of the weapon was small.|Five of the six shots hit the third target where the angle of movement of the weapon was small.
LJ039-0183|On the basis of these results, Simmons testified that in his opinion the probability of hitting the targets at the relatively short range at which they were hit|On the basis of these results, Simmons testified that in his opinion the probability of hitting the targets at the relatively short range at which they were hit
LJ039-0184|Considering the various probabilities which may have prevailed during the actual assassination,|Considering the various probabilities which may have prevailed during the actual assassination,
LJ039-0185|the highest level of firing performance which would have been required of the assassin and the C2766 rifle|the highest level of firing performance which would have been required of the assassin and the C two seven six six rifle
LJ039-0186|would have been to fire three times and hit the target twice within a span of 4.8 to 5.6 seconds.|would have been to fire three times and hit the target twice within a span of four point eight to five point six seconds.
LJ039-0187|In fact, one of the firers in the rapid fire test in firing his two series of three shots,|In fact, one of the firers in the rapid fire test in firing his two series of three shots,
LJ039-0188|hit the target twice within a span of 4.6 and 5.15 seconds.|hit the target twice within a span of four point six and five point one five seconds.
LJ039-0189|The others would have been able to reduce their times if they had been given the opportunity to become familiar with the movement of the bolt and the trigger pull.|The others would have been able to reduce their times if they had been given the opportunity to become familiar with the movement of the bolt and the trigger pull.
LJ039-0190|Simmons testified that familiarity with the bolt could be achieved in dry practice and, as has been indicated above,|Simmons testified that familiarity with the bolt could be achieved in dry practice and, as has been indicated above,
LJ039-0191|Oswald engaged in such practice. If the assassin missed either the first or third shot,|Oswald engaged in such practice. If the assassin missed either the first or third shot,
LJ039-0192|he had a total of between 4.8 and 5.6 seconds between the two shots which hit|he had a total of between four point eight and five point six seconds between the two shots which hit
LJ039-0193|and a total minimum time period of from 7.1 to 7.9 seconds for all three shots.|and a total minimum time period of from seven point one to seven point nine seconds for all three shots.
LJ039-0194|All three of the firers in these tests|All three of the firers in these tests
LJ039-0195|were able to fire the rounds within the time period which would have been available to the assassin under those conditions.|were able to fire the rounds within the time period which would have been available to the assassin under those conditions.
LJ039-0196|Three FBI firearms experts tested the rifle in order to determine the speed with which it could be fired.|Three FBI firearms experts tested the rifle in order to determine the speed with which it could be fired.
LJ039-0197|The purpose of this experiment was not to test the rifle under conditions which prevailed at the time of the assassination|The purpose of this experiment was not to test the rifle under conditions which prevailed at the time of the assassination
LJ039-0198|but to determine the maximum speed at which it could be fired.|but to determine the maximum speed at which it could be fired.
LJ039-0199|The three FBI experts each fired three shots from the weapon at 15 yards in 6, 7, and 9 seconds,|The three FBI experts each fired three shots from the weapon at fifteen yards in six, seven, and nine seconds,
LJ039-0200|and one of these agents, Robert A. Frazier,|and one of these agents, Robert A. Frazier,
LJ039-0201|fired two series of three shots at 25 yards in 4.6 and 4.8 seconds.|fired two series of three shots at twenty-five yards in four point six and four point eight seconds.
LJ039-0202|At 15 yards each man's shots landed within the size of a dime.|At fifteen yards each man's shots landed within the size of a dime.
LJ039-0203|The shots fired by Frazier at the range of 25 yards landed within an area of 2 inches and 5 inches respectively.|The shots fired by Frazier at the range of twenty-five yards landed within an area of two inches and five inches respectively.
LJ039-0204|Frazier later fired four groups of three shots at a distance of 100 yards in 5.9, 6.2,|Frazier later fired four groups of three shots at a distance of one hundred yards in five point nine, six point two,
LJ039-0205|5.6, and 6.5 seconds.|five point six, and six point five seconds.
LJ039-0206|Each series of three shots landed within areas ranging in diameter from 3 to 5 inches.|Each series of three shots landed within areas ranging in diameter from three to five inches.
LJ039-0207|Although all of the shots were a few inches high and to the right of the target,|Although all of the shots were a few inches high and to the right of the target,
